PLAYER,POS.,AGE,EXP,TEAM,TYPE, 2022-23 Salary ,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP, Market.Value ,Player-additional
James Harden,SG,33.6,13, PHI,Player  :   Bird,42782880,PG,33,PHI,58,2135,21.6,0.607,0.496,0.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4,50000000,hardeja01
Kyrie Irving,PG,31,12, DAL,UFA  :   Bird,34122650,PG-SG,30,TOT,60,2241,22.4,0.613,0.412,0.227,3,12.3,7.7,25.4,1.4,1.7,8.8,28.9,5.4,2,7.4,0.159,4.8,-0.7,4.1,3.5,46500000,irvinky01
Fred VanVleet,PG,29.1,7, TOR,Player  :   Bird,21250000,PG,28,TOR,69,2535,17,0.54,0.545,0.254,1.2,12,6.3,28.1,2.4,1.5,10.2,23.2,3.7,2.8,6.5,0.123,2,0.5,2.5,2.9,40000000,vanvlfr01
Jakob Poeltl,C,27.4,7, TOR,UFA  :   Bird,8750000,C,27,TOT,72,1906,21,0.635,0.002,0.325,13,25.5,19,15.2,1.7,4,15,18.2,3.7,2.2,6,0.15,1.1,0.8,1.9,1.9,25000000,poeltja01
Draymond Green,PF,33.1,11, GSW,Player  :   Bird,24916591,PF,32,GSW,73,2297,12.2,0.592,0.276,0.228,3.2,21.6,12.6,27.8,1.5,2.3,28.1,13.2,1.6,3.1,4.7,0.098,-1.8,2.6,0.8,1.6,25000000,greendr01
Cameron Johnson,SF,27.1,4, BKN,RFA  :   Bird,4648375,PF,26,TOT,42,1199,17.1,0.617,0.538,0.253,3.2,14,8.6,9.6,2,1,6.6,20.6,2.1,1.4,3.5,0.142,2,0.6,2.6,1.4,25000000,johnsca02
Khris Middleton,SF,31.6,11, MIL,Player  :   Bird,35500000,SF,31,MIL,33,801,17.4,0.551,0.399,0.251,3.8,14,9.1,30.7,1.4,0.5,13.6,27.4,1,1,1.9,0.117,1,-0.3,0.8,0.6,25000000,middlkh01
Brook Lopez,C,35,15, MIL,UFA  :   Bird,13000000,C,34,MIL,78,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8,0.161,0.8,1.3,2.1,2.5,20000000,lopezbr01
D'Angelo Russell,PG,27.1,8, LAL,UFA  :   Bird,29331375,PG,26,TOT,71,2304,16.3,0.605,0.517,0.228,1.7,8.5,5.2,27.4,1.4,1.1,15.1,22.7,3.1,1.9,5.1,0.106,2.1,-0.7,1.5,2,20000000,russeda01
Josh Hart,SG,28,6, NYK,Player  :   Bird,12640000,SF,27,TOT,76,2454,14.1,0.622,0.315,0.338,6.5,21,13.7,16.1,1.8,0.8,16.4,12.6,3.8,2.2,6,0.118,-0.2,1.1,0.9,1.8,20000000,hartjo01
Austin Reaves,SG,24.8,2, LAL,RFA  :   Early Bird,1244388,SG,24,LAL,64,1843,14.9,0.687,0.441,0.541,2,9,5.6,15.7,0.8,0.9,14,16.2,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2,20000000,reaveau01
Jerami Grant,PF,29,9, POR,UFA  :   Bird,20002500,PF,28,POR,63,2246,16,0.606,0.393,0.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1,4.1,0.087,1.2,-1.4,-0.2,1,20000000,grantje01
Tre Jones,PG,23.2,3, SAS,RFA  :   Bird,1399637,PG,23,SAS,68,1984,16,0.534,0.213,0.231,3,10.8,6.7,31.5,2.1,0.4,11.8,19.3,2.6,0.8,3.4,0.082,-0.2,-0.8,-1,0.5,20000000,jonestr01
Jordan Clarkson,SG,30.8,9, UTH,Player  :   Bird,12880000,SG,30,UTA,61,1988,14.7,0.558,0.445,0.238,4,9.3,6.7,20.9,0.8,0.6,14,27.8,0.9,0.8,1.7,0.042,1,-2.4,-1.4,0.3,20000000,clarkjo01
Christian Wood,C,27.5,7, DAL,UFA  :   Bird,13666667,C,27,DAL,67,1738,20.6,0.624,0.363,0.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,0.132,1.9,-0.3,1.7,1.6,17500000,woodch01
PJ Washington,PF,24.8,4,CHO,RFA  :   Non-Bird,5808435,PF,24,CHO,73,2380,12.9,0.542,0.438,0.178,3.2,13,8,11,1.3,2.9,9.4,20.6,0.4,2.2,2.6,0.052,-1,-0.3,-1.3,0.4,17500000,washipj01
Bruce Brown,SG,26.6,5, DEN,Player  :   Non-Bird,6640975,SF,26,DEN,80,2280,13.3,0.571,0.343,0.206,3.3,13,8.3,15.7,1.9,2,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.9,15000000,brownbr01
Harrison Barnes,PF,30.8,11, SAC,UFA  :   Bird,21250000,PF,30,SAC,82,2662,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1,0.3,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1,0.7,15000000,barneha02
Grant Williams,PF,24.3,4, BOS,RFA  :   Bird,2950670,PF,24,BOS,79,2045,10.3,0.605,0.611,0.256,4.7,14.5,9.7,8.4,1,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5,15000000,willigr01
Coby White,PG,23.1,4, CHI,RFA  :   Bird,6032879,SG,22,CHI,74,1730,12.5,0.572,0.579,0.118,1.1,12.6,6.9,16.3,1.5,0.3,10.6,17.9,1.2,1.9,3.1,0.087,-1,0.2,-0.8,0.5,15000000,whiteco01
Kyle Kuzma,SF,27.7,6, WAS,Player  :   Bird,13000000,PF,27,WAS,64,2239,14.3,0.544,0.421,0.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1,1.9,0.9,0.019,-0.2,-1.5,-1.7,0.2,15000000,kuzmaky01
Dillon Brooks,SG,27.2,6, MEM,UFA  :   Bird,11666667,SF,27,MEM,73,2214,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,15000000,brookdi01
Donte DiVincenzo,SG,26.2,5, GSW,Player  :   Non-Bird,4612500,SG,26,GSW,72,1894,12.8,0.593,0.7,0.131,4.7,14,9.4,17.3,2.4,0.5,16.4,15.1,1.9,2.3,4.2,0.106,-0.6,1.3,0.7,1.3,13000000,divindo01
Nikola Vu?evi?,C,32.4,12, CHI,UFA  :   Bird,25000000,C,32,CHI,82,2746,19.1,0.594,0.302,0.138,6.7,30.2,18.6,14.6,1.1,2,10.2,21.9,3.9,4.4,8.3,0.145,1.9,0.7,2.7,3.2,12500000,vucevni01
Mason Plumlee,C,33,10, LAC,UFA  :   Bird,8220833,C,32,TOT,79,2054,19.6,0.689,0,0.647,11.8,25.1,18.4,17.3,1.1,2,15.8,15.2,5.5,2.4,7.9,0.185,1.2,1,2.2,2.2,12500000,plumlma01
Russell Westbrook,PG,34.3,15, LAC,UFA  :   Non-Bird,46295265,PG,34,TOT,73,2126,16.1,0.513,0.289,0.317,4.7,16.5,10.8,38.6,1.7,1.3,18.4,27.7,-0.6,2.6,1.9,0.044,0.3,-0.1,0.2,1.2,12500000,westbru01
Caris LeVert,SG,28.6,7, CLE,UFA  :   Bird,17500000,SG,28,CLE,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18,1.6,1,12.4,18.7,1.4,3.1,4.4,0.095,-1,0.8,-0.2,1,12500000,leverca01
Matisse Thybulle,SG,26.1,4, POR,RFA  :   Bird,3128282,SF-SG,25,TOT,71,1200,10.5,0.552,0.585,0.111,3.9,9.7,6.8,5.9,3.4,2.4,8.3,10.6,0.6,1.5,2.1,0.086,-2.7,2.2,-0.5,0.4,12500000,thybuma01
Dwight Powell,C,31.7,9, DAL,UFA  :   Bird,11080125,C,31,DAL,76,1458,15.5,0.738,0.019,0.625,11.8,13.3,12.5,6.9,1.6,1.6,15.9,12.6,3.8,1.3,5.1,0.168,-1.2,0,-1.2,0.3,12500000,poweldw01
Kelly Oubre Jr.,SF,27.2,8, CHA,UFA  :   Early Bird,12300000,SF,27,CHO,48,1548,14.8,0.534,0.414,0.254,4.4,12.9,8.6,5.6,2.1,1,6.6,26.5,0.1,1.5,1.7,0.051,-0.4,-0.7,-1.1,0.3,12500000,oubreke01
Jae Crowder,SF,32.7,11, MIL,UFA  :   Bird,9720900,PF,32,MIL,18,340,14.6,0.624,0.585,0.128,5.4,15.3,10.6,10.6,1.7,1.4,6.6,13.2,0.7,0.5,1.2,0.165,0.1,1.1,1.2,0.3,12500000,crowdja01
Max Strus,SG,27,4, MIA,UFA  :   Bird,1710908,SF,26,MIA,80,2272,10.8,0.557,0.713,0.113,2.4,11.2,6.7,11.2,0.9,0.5,7.8,17.6,1.5,1.9,3.4,0.071,-0.8,-0.9,-1.7,0.2,12500000,strusma01
Talen Horton-Tucker,SG,22.3,4, UTH,Player  :   Bird,10260000,SG,22,UTA,65,1313,13.7,0.508,0.331,0.274,3.4,13.7,8.6,27.4,1.5,1.9,15.5,25.9,-0.3,1.1,0.8,0.029,-1.1,-0.5,-1.6,0.2,12500000,hortota01
Malik Beasley,SG,26.3,7, LAL,Club  :   Bird,15000000,SG,26,TOT,81,2093,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.032,-0.9,-1,-2,0,12500000,beaslma01
Jalen McDaniels,PF,25.2,4, PHI,UFA  :   Bird,1532398,SF,25,TOT,80,1913,11.8,0.557,0.376,0.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,0.068,-2.7,0.6,-2.1,-0.1,12500000,mcdanja01
Drew Eubanks,C,26.2,5, POR,UFA  :   Early Bird,1968175,C,25,POR,78,1584,16.2,0.666,0.054,0.374,9.5,20.9,15.2,9.2,1.2,5.7,14.7,12.5,2.9,1.6,4.4,0.134,-0.9,0.9,0.1,0.8,7000000,eubandr01
Kevin Love,C,34.5,15, MIA,UFA  :   Non-Bird,27442830,PF,34,TOT,62,1240,13.1,0.548,0.698,0.215,5.5,32.6,18.9,13.2,0.6,0.9,13.1,19.2,0.6,2,2.6,0.099,0.2,0.4,0.6,0.8,7000000,loveke01
Torrey Craig,SF,32.2,6, IND,UFA  :   Early Bird,5000000,PF,32,PHO,79,1948,11.6,0.566,0.506,0.09,8.1,16.3,12.1,7.9,1.3,2.9,12.3,13,1.5,2.5,4,0.098,-1.3,0.7,-0.6,0.7,7000000,craigto01
Moritz Wagner,C,25.9,5, ORL,UFA  :   Bird,1803969,C,25,ORL,57,1109,17.4,0.63,0.412,0.46,7,19.4,13.2,11.5,1.6,1.1,12.5,21.1,2.1,1.3,3.4,0.149,0.4,0.2,0.6,0.7,7000000,wagnemo01
Chimezie Metu,C,26,5, SAC,UFA  :   Bird,1457885,PF,25,SAC,66,689,17.3,0.639,0.174,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,7000000,metuch01
Nickeil Alexander-Walker,SG,24.6,4, MIN,RFA  :   Bird,3587278,SG,24,TOT,59,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,7000000,alexani01
Terence Davis,SG,25.8,4, SAC,UFA  :   Bird,4000000,SG,25,SAC,64,841,12.9,0.563,0.668,0.118,2.7,16.1,9.4,11.1,2.4,1.2,12.2,22.2,0,0.9,0.9,0.054,-1.3,-0.3,-1.5,0.1,7000000,daviste02
Seth Curry,SG,32.6,10, BKN,UFA  :   Bird,8000000,SG,32,BRK,61,1211,12.3,0.593,0.517,0.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0,7000000,curryse01
Dennis Schröder,PG,29.5,10, LAL,UFA  :   Non-Bird,2641682,PG,29,LAL,66,1986,11.5,0.545,0.346,0.388,1.2,7.5,4.4,20.1,1.2,0.4,12.8,18.6,1.3,1.5,2.8,0.068,-2.4,-0.5,-2.9,-0.4,7000000,schrode01
Gabe Vincent,PG,26.8,4, MIA,UFA  :   Bird,1742428,PG,26,MIA,68,1759,9,0.533,0.617,0.138,1.7,8.1,4.8,13.9,1.8,0.3,13.3,17.5,-0.3,1.7,1.4,0.038,-3.1,-0.3,-3.4,-0.6,7000000,vincega01
Jevon Carter,PG,27.5,5, MIL,UFA  :   Bird,2169972,PG,27,MIL,81,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,5000000,carteje01
Josh Okogie,SG,24.6,5, PHX,UFA  :   Non-Bird,1968175,SG,24,PHO,72,1350,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,5000000,okogijo01
Troy Brown Jr.,SF,23.7,5, LAL,UFA  :   Non-Bird,1968175,SF,23,LAL,76,1860,9.6,0.561,0.604,0.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,1,2,2.9,0.075,-1.8,0.8,-1,0.5,5000000,browntr01
Trey Lyles,PF,27.3,8, SAC,UFA  :   Early Bird,2562500,PF,27,SAC,74,1247,14.2,0.607,0.588,0.304,6.3,21.1,13.7,7,1,2.2,12.2,18.1,1.4,1.2,2.6,0.098,0,-0.9,-1,0.3,5000000,lylestr01
Georges Niang,PF,29.8,7, PHI,UFA  :   Early Bird,3382500,PF,29,PHI,78,1512,10.9,0.61,0.765,0.09,1.5,12.8,7.2,7.3,1,0.9,9.4,17,1.1,1.4,2.5,0.078,-0.4,-1,-1.4,0.2,5000000,niangge01
Damion Lee,SG,30.4,6, PHX,UFA  :   Non-Bird,2133278,SG,30,PHO,74,1506,10.7,0.607,0.546,0.23,2.8,14,8.3,8.9,1,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,5000000,leeda03
Shake Milton,SG,26.5,5, PHI,UFA  :   Bird,1664676,SG,26,PHI,76,1567,12.7,0.575,0.294,0.231,3,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1,-0.9,-2,0,5000000,miltosh01
Andre Drummond,C,29.6,11, CHI,Player  :   Non-Bird,3280000,C,29,CHI,67,849,20.8,0.606,0.011,0.456,18.7,40.2,29.6,5.7,2.6,3.1,18.6,21,0.8,2,2.8,0.159,-1.2,0.5,-0.8,0.3,3000000,drumman01
Patrick Beverley,PG,34.7,11, CHI,UFA  :   Non-Bird,801614,SG-PG,34,TOT,67,1816,8.9,0.534,0.664,0.181,2.7,12,7.5,13.3,1.7,2,13.4,10.6,0.8,2.1,3,0.079,-2.9,1.7,-1.2,0.3,3000000,beverpa01
Kendrick Nunn,PG,27.7,5, WAS,UFA  :   Early Bird,5125000,SG,27,TOT,70,964,11.1,0.53,0.496,0.091,1.8,10.3,6.2,13.8,1.4,0.6,12.4,23.7,-0.6,0.8,0.2,0.008,-2,-1.5,-3.5,-0.4,3000000,nunnke01
Reggie Jackson,PG,32.9,12, DEN,UFA  :   Non-Bird,918516,PG,32,TOT,68,1657,10,0.514,0.45,0.122,1.7,8,4.9,20,1.4,0.3,14.6,20.8,-0.6,1.2,0.6,0.018,-2.9,-1.1,-3.9,-0.8,3000000,jacksre01
Cory Joseph,PG,31.6,12, DET,UFA  :   Early Bird,5032750,PG,31,DET,62,1227,12.1,0.558,0.513,0.205,1.8,7.9,4.8,25.4,1.3,0.6,12.8,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2,3000000,josepco01
Bismack Biyombo,C,30.6,12, PHX,UFA  :   Early Bird,2905851,C,30,PHO,61,874,14.4,0.555,0,0.34,11,22.1,16.5,8.7,1,9,17.7,14,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,3000000,biyombi01
George Hill,PG,36.9,15, IND,UFA  :   Early Bird,4000000,PG-SG,36,TOT,46,834,10.6,0.61,0.572,0.331,2,8.6,5.4,16.7,1.5,0.6,15.2,11.3,1.1,0.8,1.9,0.107,-2.4,0.9,-1.5,0.1,3000000,hillge01
Thomas Bryant,C,25.7,6, DEN,UFA  :   Non-Bird,2133278,C,25,TOT,59,1081,19.7,0.682,0.16,0.341,8.9,24.6,17,4.3,0.7,2.4,8.2,18.2,2.7,1.4,4.1,0.183,1.1,-0.5,0.6,0.7,1500000,bryanth01
Keita Bates-Diop,PF,27.2,5, SAS,UFA  :   Bird,1803969,PF,27,SAS,67,1452,14.9,0.609,0.305,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,0.089,0.3,-0.9,-0.6,0.5,1500000,bateske01
Paul Reed,C,23.8,3, PHI,RFA  :   Bird,1303243,C,23,PHI,69,755,19.2,0.62,0.029,0.244,17.8,23.1,20.5,5.3,3,6.3,16.3,16.4,1.2,1.6,2.8,0.18,-1.6,1.5,-0.1,0.4,1500000,reedpa01
Mike Muscala,C,31.8,10, BOS,Club  :   Bird,3500000,C,31,TOT,63,945,13,0.608,0.709,0.178,4.2,19.1,11.6,7.1,0.8,2.3,6.8,15.1,1.4,1.1,2.5,0.128,-0.3,-0.1,-0.4,0.4,1500000,muscami01
Javonte Green,SG,29.7,4, CHI,UFA  :   Bird,1742428,SF,29,CHI,32,480,14.5,0.646,0.324,0.417,6.5,14.2,10.4,6.4,2.4,4.2,13.5,13.6,0.6,0.8,1.4,0.142,-1.1,2.5,1.4,0.4,1500000,greenja02
Josh Richardson,SG,29.5,8, NOP,UFA  :   Bird,12196094,SG,29,TOT,65,1530,12.3,0.555,0.529,0.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,0.055,-1,-0.1,-1.2,0.3,1500000,richajo01
Derrick Jones Jr.,PF,26.1,7, CHI,Player  :   Bird,3280000,PF,25,CHI,64,893,13.8,0.597,0.348,0.365,7.7,11.6,9.7,5.1,1.6,4,8.6,14.5,1.2,1.2,2.4,0.131,-1.2,0.8,-0.4,0.3,1500000,jonesde02
Anthony Lamb,SF,25.2,3, GSW,RFA  :   Non-Bird,253254,SF,25,GSW,62,1195,10.9,0.61,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3,1500000,lamban01
Joe Ingles,SF,35.5,9, MIL,UFA  :   Non-Bird,6479000,SF,35,MIL,46,1044,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,0.107,-1.6,0.8,-0.7,0.3,1500000,inglejo01
Yuta Watanabe,SF,28.4,5, BKN,UFA  :   Non-Bird,1968175,SF,28,BRK,58,928,12.1,0.637,0.582,0.203,3.7,13.1,8.5,7,1.3,1.6,8,13.1,1.3,0.9,2.1,0.111,-0.4,-0.2,-0.6,0.3,1500000,watanyu01
JaMychal Green,PF,32.8,9, GSW,UFA  :   Non-Bird,2628597,PF,32,GSW,57,797,15.5,0.65,0.44,0.266,10.1,18,14.1,8.9,1.5,2.5,15.6,17.5,1.2,1,2.2,0.133,-0.7,0.2,-0.5,0.3,1500000,greenja01
Ty Jerome,SG,25.7,4, GSW,UFA  :   Non-Bird,,SG,25,GSW,45,816,12.8,0.594,0.372,0.169,1,9.4,5.3,22.1,1.3,0.5,10.3,14.9,1.4,0.7,2.1,0.124,-1.1,0.3,-0.8,0.3,1500000,jeromty01
Blake Griffin,C,34,13, BOS,UFA  :   Non-Bird,2905851,C,33,BOS,41,569,13.1,0.59,0.508,0.246,9.2,20.4,14.9,14.2,1.2,1.4,13.2,12.7,1,0.8,1.8,0.153,-1.4,1.5,0.1,0.3,1500000,griffbl01
Lindy Waters III,SG,25.7,2, OKC,Club  :   Early Bird,3144752,SG,25,OKC,41,531,11.8,0.573,0.91,0.112,3.2,12.2,7.6,7,1.3,1.9,5.1,15.5,0.6,0.5,1.1,0.101,0.5,-0.4,0.1,0.3,1500000,waterli01
Goga Bitadze,C,23.7,4, ORL,Club  :   Non-Bird,1339383,C,23,TOT,38,457,17.1,0.582,0.208,0.336,15,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,1500000,bitadgo01
Frank Kaminsky,C,30,8, HOU,UFA  :   Non-Bird,2463490,C,29,TOT,36,235,15.3,0.635,0.524,0.254,3.2,21.2,12.1,17.8,1.2,1.6,11.4,14.1,0.5,0.2,0.7,0.141,1.2,1.7,2.8,0.3,1500000,kaminfr01
Jock Landale,C,27.4,2, PHX,RFA  :   Early Bird,1244388,C,27,PHO,69,979,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2,1500000,landajo01
Montrezl Harrell,C,29.2,8, PHI,Player  :   Non-Bird,2611758,C,29,PHI,57,681,17.6,0.631,0.029,0.483,11.8,15.7,13.8,7.4,1.2,3.4,12.1,18.9,1.3,0.8,2.2,0.153,-0.9,-0.4,-1.3,0.1,1500000,harremo01
Jaylen Nowell,SG,23.7,4, MIN,UFA  :   Bird,1657821,SG,23,MIN,65,1252,13.7,0.527,0.371,0.158,3.3,11.7,7.6,15.9,1.6,0.3,8.9,25,0,1.2,1.2,0.046,-1.5,-1,-2.5,-0.2,1500000,nowelja01
Svi Mykhailiuk,SF,25.8,5, CHA,UFA  :   Non-Bird,1968175,SF,25,TOT,32,468,14,0.584,0.572,0.225,3.4,8.9,6.1,16.5,1.5,0.7,11.2,19.3,0.5,0.3,0.8,0.081,0.5,-0.7,-0.1,0.2,1500000,mykhasv01
Lonnie Walker IV,SG,24.2,5, LAL,UFA  :   Non-Bird,6479000,SG,24,LAL,56,1297,12.2,0.57,0.472,0.201,1.2,7.6,4.5,7,1.1,1.1,7.4,20.2,0.8,1,1.8,0.066,-0.9,-0.5,-1.4,0.2,,walkelo01
Raul Neto,PG,30.8,8, CLE,UFA  :   Non-Bird,2463490,PG,30,CLE,48,505,12.6,0.628,0.382,0.309,2.3,8.4,5.4,21,1.7,0.7,16.1,13.2,0.8,0.6,1.5,0.142,-1.7,1.5,-0.2,0.2,,netora01
Darius Bazley,PF,22.8,4, PHX,RFA  :   Bird,2865407,C,22,TOT,43,616,13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1,0.078,-2,1,-1,0.2,,bazleda01
Boban Marjanovi?,C,34.6,8, HOU,UFA  :   Early Bird,807005,C,34,HOU,31,171,23.4,0.71,0.017,0.45,12.7,26,19.3,8.7,1.4,1.1,16.3,20.8,0.4,0.1,0.6,0.158,3,-1.5,1.6,0.2,,marjabo01
Dario Šari?,PF,28.9,7, OKC,UFA  :   Bird,9000000,PF-C,28,TOT,57,806,13.5,0.583,0.415,0.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1,1.7,0.099,-1.5,0.1,-1.4,0.1,,saricda01
Hamidou Diallo,SG,24.7,5, DET,UFA  :   Bird,5200000,SF,24,DET,56,996,15.7,0.593,0.056,0.395,6.2,15.7,10.8,9.2,2.6,1.4,13.9,21.8,0.4,0.9,1.3,0.063,-1.8,0.4,-1.4,0.1,,diallha01
Jaxson Hayes,C,22.8,4, NOP,RFA  :   Bird,5529623,C,22,NOP,47,610,13.7,0.605,0.186,0.532,7.3,17.3,12.3,7.7,1.6,3,13.9,15.7,0.6,0.9,1.5,0.118,-2.2,1,-1.2,0.1,,hayesja02
Udoka Azubuike,C,23.5,3, UTH,UFA  :   Bird,2537811,C,23,UTA,36,359,16.1,0.774,0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,0.6,0.4,1,0.134,-1.2,0.5,-0.6,0.1,,azubuud01
